Rank,sport,FIS,Last,First,NOC,5,6,7,8,8 1,8 2,9,10,11,12,13,source_pdf,page,14,15,16,17,18,19,20,21,22,23
14,Alpine Women,56315,TRUPPE,Katharina,AUT,341.792,,341,4,(4),,:,,,,,ALPW------------------------------__C25B_2.0.pdf,1,,,,,,,,,,
15,Alpine Women,197497,MIRADOLI,Romane,FRA,305,828.124,13,0,,,181,4,,,,ALPW------------------------------__C25B_2.0.pdf,1,,,,,,,,,,
16,Alpine Women,6205075,DELLA,MEA,LARA,ITA,303,830,-,-,,117,14,186,11,:,ALPW------------------------------__C25B_2.0.pdf,1,,,,,,,,,,
7,Alpine Women,56128,HUETTER,Cornelia,AUT,"-302,s831.s",179,7,0,,,123,8,,,,ALPW------------------------------__C25B_2.0.pdf,1,,,,,,,,,,
18,Alpine Women,385116,LJUTIC,Zrinka,CRO,286-847,,79,21,(21),,207,9,0,,,ALPW------------------------------__C25B_2.0.pdf,1,,,,,,,,,,
19,Alpine Women,299624,PIROVANO,Laura,ITA,279,854207,4,0,,,72,17,,,,ALPW------------------------------__C25B_2.0.pdf,1,,,,,,,,,,
0,Alpine Women,STJERNESUND,STJERNESUND,Th,NOR,0,25,35,224,224,,7,0,,,,ALPW------------------------------__C25B_2.0.pdf,1,,,,,,,,,,
23,Alpine Women,6535455,JOHNSON,Breezy,USA,244889178,8,0,66,66,,18,,,,,ALPW------------------------------__C25B_2.0.pdf,1,,,,,,,,,,
23,Alpine Women,506146,SWENN,LARSSON,ANNA,SWE,244889,0,244,244,,7,-,0,,,ALPW------------------------------__C25B_2.0.pdf,1,,,,,,,,,,
25,Alpine Women,185763,LEDECKA,Ester,CZE,234,899,104,16,(16),,:,130,6,,,ALPW------------------------------__C25B_2.0.pdf,1,,,,,,,,,,
26,Alpine Women,516766,BLANC,Malorie,SUI,211,92258,20,0,,,153,5,,,,ALPW------------------------------__C25B_2.0.pdf,1,,,,,,,,,,
0,Alpine Women,276535773,OBRIEN,Nina,USA,204.929,,37,30,(30),,167,12,0,,,ALPW------------------------------__C25B_2.0.pdf,1,,,,,,,,,,
28,Alpine Women,56125,PUCHNER,Mirjam,AUT,203,930,142:Qi-,0,,,61,19,,,,ALPW------------------------------__C25B_2.0.pdf,1,,,,,,,,,,
29,Alpine Women,565360,STUHEC,Ilka,SLO,193,940,137,11,(11),,:,56,21,,,ALPW------------------------------__C25B_2.0.pdf,1,,,,,,,,,,
29,Alpine Women,56328,ORTLIEB,Nina,AUT,"193,940,132",12,0,61,61,,19,,,,,ALPW------------------------------__C25B_2.0.pdf,1,,,,,,,,,,
0,Alpine Women,31435334,GASIENICA-DANIEL,M,POL,942,,0,189,189,,10,2,45,,,ALPW------------------------------__C25B_2.0.pdf,1,,,,,,,,,,
32,Alpine Women,56388,LIENSBERGER,Katharina,AUT,189.94,,116,15,(15),,73,22,0,,,ALPW------------------------------__C25B_2.0.pdf,1,,,,,,,,,,
34,Alpine Women,56255,RAEDLER,Ariane,AUT,170,963.83,17,0,,,87,15,,,,ALPW------------------------------__C25B_2.0.pdf,1,,,,,,,,,,
35,Alpine Women,108461,RICHARDSON,Britt,CAN,163-970,,0,163,163,,13,0,,,,ALPW------------------------------__C25B_2.0.pdf,1,,,,,,,,,,
37,Alpine Women,56551,EGGER,Magdalena,AUT,"152,981.",123,14,0,,,29,25,,,,ALPW------------------------------__C25B_2.0.pdf,1,,,,,,,,,,
38,Alpine Women,198164,CHEVRIER,Marion,FRA,148.985,,148,11,(11),,:,,,,,ALPW------------------------------__C25B_2.0.pdf,1,,,,,,,,,,
39,Alpine Women,539536,WILES,Jacqueline,USA,"148.987,",120,15,0,,,26,28,,,,ALPW------------------------------__C25B_2.0.pdf,1,,,,,,,,,,
40,Alpine Women,56253,HUBER,Katharina,AUT,134.999,,134,12,(12),,:,,,,,ALPW------------------------------__C25B_2.0.pdf,1,,,,,,,,,,
0,Alpine Women,416536213,CASHMAN,Keely,USA,33,26,Ss,0,,,93,14,,,,ALPW------------------------------__C25B_2.0.pdf,1,,,,,,,,,,
0,Alpine Women,42507326,OEHLUND,Cornelia,SWE,0,125,13,0,,,,,,,,ALPW------------------------------__C25B_2.0.pdf,1,,,,,,,,,,
0,Alpine Women,43299363,MELESI,Roberta,ITA,1015,,13,33,(33),,:,105,10,,,ALPW------------------------------__C25B_2.0.pdf,1,,,,,,,,,,
45,Alpine Women,197641,GAUCHE,Laura,FRA,115,1018,21,30,(30),,:,94,13,,,ALPW------------------------------__C25B_2.0.pdf,1,,,,,,,,,,
46,Alpine Women,516553,CHRISTEN,Eliane,SUI,411,1022,0,11117,11117),,:,,,,,ALPW------------------------------__C25B_2.0.pdf,1,,,,,,,,,,
0,Alpine Women,47197616,ALPHAND,Estelle,SWE,0,32,32,77,77,,21,0,,,,ALPW------------------------------__C25B_2.0.pdf,1,,,,,,,,,,
